titulo,autor,genero,isbn,copias_disponibles,ubicacion
Aprender a la enseñanza: Nueva edición 5,Arturo Pacheco Olvera,Educación,978-1000021394,4,Sección Educación - Estante 2
El mapa sin regreso: Estudios y comentarios 3,Daniel Marín,Novela,978-1000021400,1,Sección A - Estante 7
El verano de los inconformes: Guía ilustrada 4,Mariana Hernández,Juvenil,978-1000021417,3,Sección Juvenil - Estante 4
Manual de consulta de ciencias,Gabriela Luna,Referencia,978-1000021424,1,Sección Referencia - Estante 4
Sabores de las regiones mexicanas,Mario Sandoval,Cocina,978-1000021431,3,Sección Hogar - Estante 9
La casa de la carretera,Ricardo Santos,Terror,978-1000021448,6,Sección B - Estante 7
Introducción a los movimientos sociales: Historias complementarias 7,Felipe Vargas,Historia,978-1000021455,3,Sección Historia - Estante 9
La desaparición de la biblioteca cerrada: Guía ilustrada 3,Guadalupe Herrera Carrillo,Misterio,978-1000021462,3,Sección B - Estante 9
Introducción a el siglo XX: Guía ilustrada 5,Luis Luna,Historia,978-1000021479,2,Sección Historia - Estante 9
El bosque de las siete puertas: Historias complementarias 5,Víctor Valdez Arellano,Fantasía,978-1000021486,2,Sección B - Estante 9
Guía de la comprensión lectora: Cuaderno de actividades 2,Nicolás Morales,Educación,978-1000021493,1,Sección Educación - Estante 3
Claves de la economía,Leonardo Estrada,Economía,978-1000021509,1,Sección Humanidades - Estante 12
Cuidemos el cambio climático: Nueva edición 2,Rodrigo Morales,Medio Ambiente,978-1000021516,1,Sección Ciencia - Estante 7
El secreto de monstruo amable: Volumen II 3,Brenda Escobar,Infantil,978-1000021523,3,Sección Infantil - Estante 9
La última los inconformes: Nueva edición 4,Gerardo Barrera,Juvenil,978-1000021530,2,Sección Juvenil - Estante 9
Guía de los residuos: Una introducción 2,Héctor Blanco Torres,Medio Ambiente,978-1000021547,1,Sección Ciencia - Estante 6
Crónicas del obsidiana,Sofía Soto Carrillo,Fantasía,978-1000021554,3,Sección B - Estante 6
Una vida entre una maestra rural: Cuaderno de actividades 3,Rosa Reyes,Biografía,978-1000021561,5,Sección Historia - Estante 9
La sombra de la madrugada: Historias complementarias 5,Josefina Zamora,Novela,978-1000021578,2,Sección A - Estante 4
Manual de la salud familiar: Historias complementarias 4,Julia Silva,Salud,978-1000021585,3,Sección Salud - Estante 5
El silencio en la ventana: Nueva edición 4,Julia Blanco,Novela,978-1000021592,2,Sección A - Estante 9
El club de la noche interminable: Una introducción 4,Alejandra Campos,Juvenil,978-1000021608,3,Sección Juvenil - Estante 10
El futuro de el Valle de México: Cuaderno de actividades 3,Mauricio Blanco,Medio Ambiente,978-1000021615,3,Sección Ciencia - Estante 8
Relatos de la infancia: Edición para jóvenes 4,Ricardo Villanueva,Cuento,978-1000021622,2,Sección A - Estante 3
El silencio de la calle antigua: Cuaderno de actividades 5,Andrea Aguilar,Novela,978-1000021639,1,Sección A - Estante 2
La sombra de la lluvia: Guía ilustrada 3,Tomás Cárdenas,Novela,978-1000021646,5,Sección A - Estante 9
Historia de el México prehispánico: Edición para jóvenes 2,Mario Jiménez,Historia de México,978-1000021653,3,Sección Historia - Estante 5
Principios de la biología: Volumen I 3,Josefina López Ruiz,Ciencia,978-1000021660,3,Sección Ciencia - Estante 12
Pensar el conocimiento: Lecturas seleccionadas 3,Alejandra Zúñiga,Filosofía,978-1000021677,3,Sección Humanidades - Estante 11
Relatos de los caminos: Edición para jóvenes 3,Silvia Carrillo,Cuento,978-1000021684,5,Sección A - Estante 6
México durante la Independencia: Historias complementarias 5,Paola Cortés Maldonado,Historia de México,978-1000021691,5,Sección Historia - Estante 12
El jardín de las jacarandas: Volumen II 3,Ernesto Rojas,Novela,978-1000021707,3,Sección A - Estante 11
Crimen en la calle de Donceles: Estudios y comentarios 4,Felipe Aranda Vázquez,Misterio,978-1000021714,1,Sección B - Estante 11
Señal Marte: Edición para jóvenes 2,Rafael Velasco,Ciencia Ficción,978-1000021721,4,Sección B - Estante 9
Retrato de una científica: Una introducción 2,Rodrigo Herrera,Biografía,978-1000021738,2,Sección Historia - Estante 3
Sabores de ingredientes económicos: Guía ilustrada 2,Mauricio Soto,Cocina,978-1000021745,1,Sección Hogar - Estante 10
La casa en la ventana: Una introducción 5,Margarita Aranda Ramos,Novela,978-1000021752,4,Sección A - Estante 10
La noche de árbol parlante: Lecturas seleccionadas 3,Estela Guerrero,Infantil,978-1000021769,7,Sección Infantil - Estante 4
La increíble monstruo amable: Guía ilustrada 4,Salvador Reyes,Infantil,978-1000021776,7,Sección Infantil - Estante 2
México durante los barrios de la capital: Edición para jóvenes 3,Gabriela Espinosa,Historia de México,978-1000021783,6,Sección Historia - Estante 6
La memoria de la madrugada: Historias complementarias 4,Noemí García,Novela,978-1000021790,1,Sección A - Estante 12
Crónica de la Ciudad de México,Teresa Ramos Blanco,Historia de México,978-1000021806,1,Sección Historia - Estante 12
Preguntas de la vida cotidiana: Guía ilustrada 3,Mariana Núñez,Filosofía,978-1000021813,1,Sección Humanidades - Estante 6
Voces de la montaña: Volumen I 4,Rocío Rivera Contreras,Cuento,978-1000021820,4,Sección A - Estante 6
Cocina de ingredientes económicos,Mario Vargas,Cocina,978-1000021837,3,Sección Hogar - Estante 9
Atlas histórico de el siglo XX: Historias complementarias 4,Liliana Rodríguez Lozano,Historia,978-1000021844,4,Sección Historia - Estante 6
Cuentos de la ciudad: Volumen II 4,Alejandra Padilla Olvera,Cuento,978-1000021851,2,Sección A - Estante 6
Las voces de la madrugada: Volumen II 5,Felipe Contreras,Novela,978-1000021868,3,Sección A - Estante 7
Cocina de ingredientes económicos: Volumen I 2,Daniel Carrillo,Cocina,978-1000021875,5,Sección Hogar - Estante 6
Cuentos de la periferia: Edición para jóvenes 3,Miguel Gutiérrez,Cuento,978-1000021882,1,Sección A - Estante 8
La estación de los ausentes: Cuaderno de actividades 6,Rubén Sánchez Martínez,Novela,978-1000021899,0,Sección A - Estante 4
La vida cotidiana en la Revolución Mexicana: Lecturas seleccionadas 2,Adriana Fuentes,Historia de México,978-1000021905,3,Sección Historia - Estante 12
Crimen en la biblioteca cerrada: Cuaderno de actividades 3,Marco Castro,Misterio,978-1000021912,5,Sección B - Estante 6
Diálogos sobre el conocimiento: Estudios y comentarios 5,Noemí Barrera,Filosofía,978-1000021929,2,Sección Humanidades - Estante 12
Breves historias de la memoria: Lecturas seleccionadas 3,Gerardo Delgado,Cuento,978-1000021936,1,Sección A - Estante 3
El mundo de la astronomía: Historias complementarias 3,Brenda Ibarra Cortés,Ciencia,978-1000021943,2,Sección Ciencia - Estante 8
El verano de la azotea: Guía ilustrada 7,Raquel Montes Méndez,Juvenil,978-1000021950,0,Sección Juvenil - Estante 6
Introducción a la salud familiar: Edición para jóvenes 3,Estela Aguilar Castro,Salud,978-1000021967,3,Sección Salud - Estante 10
Perspectivas de la participación ciudadana: Estudios y comentarios 2,Salvador Castillo León,Ciencias Sociales,978-1000021974,4,Sección Humanidades - Estante 7
La voz de los encuentros: Nueva edición 2,Rubén Pérez,Poesía,978-1000021981,4,Sección A - Estante 4
Historias desde la montaña: Volumen II 4,Santiago Blanco,Cuento,978-1000021998,3,Sección A - Estante 5
Diccionario de la lengua española,Ángel Contreras Campos,Referencia,978-1000022001,4,Sección Referencia - Estante 9
Los viajeros de la Luna: Historias complementarias 2,Susana Espinosa,Ciencia Ficción,978-1000022018,4,Sección B - Estante 2
Voces de los caminos: Estudios y comentarios 3,Sara Navarro Aranda,Cuento,978-1000022025,1,Sección A - Estante 10
Didáctica de el aprendizaje creativo: Cuaderno de actividades 3,Rubén Rodríguez,Educación,978-1000022032,3,Sección Educación - Estante 6
Las aventuras de luna de papel: Lecturas seleccionadas 2,Alejandra Serrano Ortega,Infantil,978-1000022049,6,Sección Infantil - Estante 11
Historias desde la ciudad,Alejandra Padilla Olvera,Cuento,978-1000022056,4,Sección A - Estante 6
Breves historias de la montaña: Cuaderno de actividades 2,Sara Maldonado,Cuento,978-1000022063,4,Sección A - Estante 12
Guía práctica de desarrollo web: Edición para jóvenes 5,Isabel Juárez Villanueva,Tecnología,978-1000022070,4,Sección Ciencia - Estante 8
Pensar la filosofía: Nueva edición 4,Beatriz Padilla,Filosofía,978-1000022087,2,Sección Humanidades - Estante 7
El mapa junto al lago: Lecturas seleccionadas 3,Manuel Alarcón,Novela,978-1000022094,2,Sección A - Estante 8
Introducción al danza: Cuaderno de actividades 2,Josefina Solís Zúñiga,Arte,978-1000022100,5,Sección Arte - Estante 1
La sombra del barrio: Estudios y comentarios 5,Susana Velasco,Novela,978-1000022117,1,Sección A - Estante 4
Voces de la infancia: Una introducción 3,Cecilia Ortiz,Cuento,978-1000022124,0,Sección A - Estante 7
Introducción a la ciudadanía: Una introducción 2,José Salazar,Filosofía,978-1000022131,2,Sección Humanidades - Estante 11
Breves historias de la ciudad: Lecturas seleccionadas 2,Jorge Álvarez,Cuento,978-1000022148,5,Sección A - Estante 12
Rutas de la Ciudad de México: Lecturas seleccionadas 4,Beatriz Núñez,Historia de México,978-1000022155,1,Sección Historia - Estante 6
La increíble colibrí: Volumen I 3,Brenda Campos,Infantil,978-1000022162,4,Sección Infantil - Estante 5
Pensar la vida cotidiana,Daniela Reyes,Filosofía,978-1000022179,3,Sección Humanidades - Estante 1
Rutas por México,Juan Pacheco,Geografía,978-1000022186,3,Sección Referencia - Estante 3
Las voces de las jacarandas: Guía ilustrada 5,Claudia Solís,Novela,978-1000022193,4,Sección A - Estante 12
La estación sin regreso: Historias complementarias 2,Mario Aranda,Novela,978-1000022209,3,Sección A - Estante 6
El bosque de la serpiente de jade: Nueva edición 2,Héctor Villanueva,Fantasía,978-1000022216,2,Sección B - Estante 5
Introducción a el siglo XX: Volumen I 6,Juan Pacheco,Historia,978-1000022223,3,Sección Historia - Estante 11
Sociedad y la desigualdad,Juan Espinosa Molina,Ciencias Sociales,978-1000022230,2,Sección Humanidades - Estante 2
El futuro de la biodiversidad: Lecturas seleccionadas 2,Estela Torres Juárez,Medio Ambiente,978-1000022247,3,Sección Ciencia - Estante 9
Las aventuras de ajolote: Volumen I 3,Jorge Morales Silva,Infantil,978-1000022254,0,Sección Infantil - Estante 9
El secreto de tren de colores: Cuaderno de actividades 7,Héctor Villanueva,Infantil,978-1000022261,3,Sección Infantil - Estante 3
Historia de la Independencia: Lecturas seleccionadas 4,Alejandra Contreras Solís,Historia de México,978-1000022278,1,Sección Historia - Estante 3
Cocina de las regiones mexicanas: Volumen II 5,Brenda Ibarra Cortés,Cocina,978-1000022285,1,Sección Hogar - Estante 12
Documentos para comprender la vida cotidiana: Estudios y comentarios 5,Sandra Barrera Cabrera,Historia,978-1000022292,4,Sección Historia - Estante 11
La noche de colibrí: Cuaderno de actividades 4,Felipe Ruiz,Infantil,978-1000022308,4,Sección Infantil - Estante 10
Bajo la misma las luces: Edición para jóvenes 2,Francisco Campos,Juvenil,978-1000022315,1,Sección Juvenil - Estante 11
Atlas histórico de América Latina: Volumen II 4,Ángel Torres,Historia,978-1000022322,1,Sección Historia - Estante 9
El club de las luces: Estudios y comentarios 3,Salvador Moreno,Juvenil,978-1000022339,3,Sección Juvenil - Estante 11
Introducción a la vida cotidiana: Estudios y comentarios 7,Natalia Sánchez,Historia,978-1000022346,1,Sección Historia - Estante 12
Mi primer gato del mercado: Volumen I 2,Julia Martínez Morales,Infantil,978-1000022353,2,Sección Infantil - Estante 3
El viaje de exploradores: Una introducción 3,Miguel Ochoa,Infantil,978-1000022360,2,Sección Infantil - Estante 1
El bosque de los nahuales,Leonardo Valdez,Fantasía,978-1000022377,2,Sección B - Estante 2
Estudios sobre la antropología: Edición para jóvenes 2,Óscar Aranda,Ciencias Sociales,978-1000022384,4,Sección Humanidades - Estante 1
Aprende seguridad digital: Nueva edición 3,Pilar Moreno,Tecnología,978-1000022391,3,Sección Ciencia - Estante 1
Principios de la química,Olga Guerrero,Ciencia,978-1000022407,0,Sección Ciencia - Estante 12
La distancia de los ausentes: Edición para jóvenes 2,Silvia Soto Santos,Novela,978-1000022414,2,Sección A - Estante 10
Guía de cine: Volumen I 3,Liliana Flores Moreno,Arte,978-1000022421,2,Sección Arte - Estante 10
Tecnología para alfabetización digital,Pilar Luna,Tecnología,978-1000022438,3,Sección Ciencia - Estante 5
Rutas por la Ciudad de México: Volumen I 2,Andrea Reyes,Geografía,978-1000022445,7,Sección Referencia - Estante 9
Conversaciones con un médico de barrio: Volumen II 3,Marcela Martínez,Biografía,978-1000022452,2,Sección Historia - Estante 5
Tecnología para seguridad digital: Lecturas seleccionadas 2,Silvia Peña Ruiz,Tecnología,978-1000022469,3,Sección Ciencia - Estante 8
Cuidado de los primeros auxilios: Historias complementarias 5,Silvia Cortés,Salud,978-1000022476,3,Sección Salud - Estante 4
El pequeño luna de papel: Cuaderno de actividades 4,Leonardo Ibarra,Infantil,978-1000022483,1,Sección Infantil - Estante 4
Guía de los insectos,Carmen Fuentes Estrada,Ciencia,978-1000022490,0,Sección Ciencia - Estante 7
Preguntas de la ciudadanía: Una introducción 3,Víctor Blanco Núñez,Filosofía,978-1000022506,1,Sección Humanidades - Estante 4
La casa junto al lago: Una introducción 7,Javier Herrera,Novela,978-1000022513,2,Sección A - Estante 7
El viaje de luna de papel: Lecturas seleccionadas 3,Óscar Ruiz Moreno,Infantil,978-1000022520,1,Sección Infantil - Estante 2
La estación del último verano,Gerardo Ramos Morales,Novela,978-1000022537,3,Sección A - Estante 4
Mi primer monstruo amable: Nueva edición 2,Daniel Carrillo,Infantil,978-1000022544,2,Sección Infantil - Estante 5
Geografía de América Latina,Valeria Barrera,Geografía,978-1000022551,2,Sección Referencia - Estante 6
El secreto de gato del mercado: Volumen I 2,David Rodríguez,Infantil,978-1000022568,2,Sección Infantil - Estante 3
El misterio de las luces: Nueva edición 2,Iván León Campos,Juvenil,978-1000022575,4,Sección Juvenil - Estante 6
El huésped de la niebla: Nueva edición 3,Claudia Suárez Vega,Terror,978-1000022582,4,Sección B - Estante 9
Perspectivas de la sociología: Historias complementarias 2,Óscar Marín Santos,Ciencias Sociales,978-1000022599,3,Sección Humanidades - Estante 7
Guía ciudadana de derecho mexicano: Lecturas seleccionadas 3,Víctor Suárez Silva,Derecho,978-1000022605,2,Sección Humanidades - Estante 6
Archivo el año 2149: Cuaderno de actividades 3,Noemí Ramírez,Ciencia Ficción,978-1000022612,2,Sección B - Estante 5
Panorama de los movimientos sociales: Historias complementarias 7,Iván Cabrera,Historia,978-1000022629,4,Sección Historia - Estante 8
La memoria del barrio: Una introducción 3,Raquel Blanco,Novela,978-1000022636,1,Sección A - Estante 5
La increíble tlacuache: Una introducción 3,Josefina Robles Fernández,Infantil,978-1000022643,5,Sección Infantil - Estante 8
Bajo la misma la noche interminable,Lucía López Vázquez,Juvenil,978-1000022650,5,Sección Juvenil - Estante 3
Introducción a el desarrollo local,Víctor Cervantes,Economía,978-1000022667,5,Sección Humanidades - Estante 3
El silencio sin regreso: Estudios y comentarios 7,Iván Trejo,Novela,978-1000022674,1,Sección A - Estante 3
Pensar la justicia: Cuaderno de actividades 3,Cecilia Cabrera,Filosofía,978-1000022681,3,Sección Humanidades - Estante 12
Cuidemos los bosques: Una introducción 5,Felipe Ruiz,Medio Ambiente,978-1000022698,3,Sección Ciencia - Estante 2
La casa de el edificio antiguo: Cuaderno de actividades 3,Víctor Rodríguez,Terror,978-1000022704,2,Sección B - Estante 4
Introducción a los residuos: Nueva edición 2,Iván León Campos,Medio Ambiente,978-1000022711,1,Sección Ciencia - Estante 4
Panorama de el mundo moderno: Cuaderno de actividades 2,Mauricio Contreras,Historia,978-1000022728,1,Sección Historia - Estante 9
La distancia en la ventana: Nueva edición 3,Ana Alarcón,Novela,978-1000022735,3,Sección A - Estante 8
Principios de el consumo responsable: Lecturas seleccionadas 2,Fernanda Velasco,Economía,978-1000022742,3,Sección Humanidades - Estante 12
Panorama de las civilizaciones antiguas: Volumen I 8,Carlos Barrera,Historia,978-1000022759,3,Sección Historia - Estante 5
